date,Open,High,Low,Close,Adj Close,Volume,signal,transformer_sentiment
2024-01-02,373.8599853515625,375.8999938964844,366.7699890136719,370.8699951171875,370.1854248046875,25258600,,1.0
2024-01-03,369.010009765625,373.260009765625,368.510009765625,370.6000061035156,369.9159240722656,23083500,5.0,1.0
2024-01-04,370.6700134277344,373.1000061035156,367.1700134277344,367.94000244140625,367.2608337402344,20901500,-7.0,1.0
2024-01-05,368.9700012207031,372.05999755859375,366.5,367.75,367.0711975097656,20987000,-4.0,1.0
2024-01-08,369.29998779296875,375.20001220703125,369.010009765625,374.69000244140625,373.9983825683594,23134000,7.0,1.0
2024-01-09,372.010009765625,375.989990234375,371.19000244140625,375.7900085449219,375.09637451171875,20830000,-5.0,1.0
2024-01-10,376.3699951171875,384.1700134277344,376.32000732421875,382.7699890136719,382.0634460449219,25514200,-3.0,1.0
2024-01-11,386.0,390.67999267578125,380.3800048828125,384.6300048828125,383.9200439453125,27850800,0.0,1.0
2024-01-12,385.489990234375,388.67999267578125,384.6499938964844,388.4700012207031,387.7529602050781,21645700,8.0,1.0
2024-01-16,393.6600036621094,394.0299987792969,387.6199951171875,390.2699890136719,389.54962158203125,27202300,4.0,1.0
2024-01-17,387.9800109863281,390.1099853515625,384.80999755859375,389.4700012207031,388.7510986328125,22234100,-4.0,1.0
2024-01-18,391.7200012207031,393.989990234375,390.1199951171875,393.8699951171875,393.1429748535156,23392100,2.0,1.0
2024-01-19,395.760009765625,398.6700134277344,393.5,398.6700134277344,397.93414306640625,29272000,0.0,1.0
2024-01-22,400.0199890136719,400.6199951171875,393.5899963378906,396.510009765625,395.7781066894531,27016900,-1.0,1.0
2024-01-23,395.75,399.3800048828125,393.92999267578125,398.8999938964844,398.1636962890625,20525900,-4.0,1.0
2024-01-24,401.5400085449219,405.6300048828125,400.45001220703125,402.55999755859375,401.8169250488281,24867000,-4.0,1.0
2024-01-25,404.32000732421875,407.010009765625,402.5299987792969,404.8699951171875,404.1226806640625,21021200,0.0,1.0
