,Open,High,Low,Close,Volume,Dividends,Stock Splits,Sentiment,transformer_sentiment
2020-01-02,9.39395866104196,9.43044001843345,9.33011563326873,9.384838104248047,5688000,0.0,0.0,0,0
2020-01-03,9.384838871493159,9.43956134694624,9.35747806865874,9.403079986572266,6992200,0.0,0.0,0,0
2020-01-06,9.320995900071473,9.348356700533468,9.275393986112038,9.311875343322754,10068900,0.0,0.0,0,0
2020-01-07,9.229792865214634,9.275394783092375,9.211552619934082,9.211552619934082,10589100,0.0,0.0,0,0
2020-01-08,9.120349349138555,9.229793436954104,9.111228791041187,9.202432632446289,13440400,0.0,0.0,1,0
2020-01-09,9.311876521040078,9.585487169617364,9.25715404341091,9.558125495910645,28436900,0.0,0.0,0,0
2020-01-10,10.12358639808463,10.169187441222048,9.685809251735426,9.713170051574707,30794600,0.0,0.0,0,0
2020-01-13,9.986781461887356,10.014142263925432,9.849976581912765,9.92293930053711,13659600,0.0,0.0,0,0
2020-01-14,9.913818929332486,9.941179731884088,9.822615964232401,9.904698371887207,15188300,0.0,0.0,0,0
2020-01-15,9.877337270061547,9.96854110218247,9.786133437940624,9.895578384399414,11884300,0.0,0.0,0,0
2020-01-16,9.88645782723048,9.9776607895672,9.859097025507886,9.895578384399414,8511200,0.0,0.0,0,0
2020-01-17,9.886457941224938,9.95942065984928,9.777013863288422,9.92293930053711,6604300,0.0,0.0,0,0
2020-01-21,9.822615666616358,9.950299987844604,9.822615666616358,9.895578384399414,15790000,0.0,0.0,0,0
2020-01-22,9.977660988448834,10.096225624655665,9.959420743531595,10.068864822387695,22364600,0.0,0.0,0,0
2020-01-23,10.114467509062024,10.141828313412134,9.922940139042675,10.087106704711914,27833700,0.0,0.0,0,0
2020-01-24,10.096226196585194,10.141828116137875,9.97766155366193,10.059744834899902,21191300,0.0,0.0,0,0
2020-01-27,9.877338477864505,10.041505047842808,9.877338477864505,10.023263931274414,13542100,0.0,0.0,0,0
2020-01-28,10.023262269736135,10.160068011968113,9.986780912431106,10.123586654663086,15422800,0.0,0.0,0,0
2020-01-29,10.196550791896644,10.278634074731263,10.068865588622314,10.087106704711914,19730500,0.0,0.0,0,0
2020-01-30,10.032384226227405,10.105346951017225,10.005023421877295,10.087106704711914,10487100,0.0,0.0,0,0
2020-01-31,9.995902061462402,10.032383420928957,9.941179587370462,9.995902061462402,24260300,0.0,0.0,0,0
2020-02-03,9.922939527484811,9.986781690295192,9.83173569222635,9.9776611328125,11681900,0.0,0.0,0,0
2020-02-04,10.105345541118488,10.178308255728544,10.077984740585759,10.123586654663086,7737200,0.0,0.0,0,0
2020-02-05,10.123587296707857,10.150948098975826,10.059744265036965,10.068864822387695,10488300,0.0,0.0,0,0
2020-02-06,10.005022618775095,10.068864780395511,9.98678150414971,9.995902061462402,16312500,0.0,0.0,0,0
2020-02-07,9.986781346736134,10.023262705627662,9.88645782723048,9.895578384399414,8140300,0.0,0.0,0,0
2020-02-10,9.895578045733407,9.995901561805589,9.877336932019823,9.959420204162598,4589700,0.0,0.0,0,0
2020-02-11,10.005024145057023,10.059745757712612,9.96854278002518,9.986783027648926,6526500,0.0,0.0,0,0
2020-02-12,10.105345138837176,10.233030319213867,10.087104895802868,10.233030319213867,9928100,0.0,0.0,0,0
2020-02-13,10.23303072657817,10.269512083883196,10.114466097890787,10.123586654663086,9416900,0.0,0.0,0,0
2020-02-14,10.105346067412706,10.141827426617711,10.04150390625,10.04150390625,5420300,0.0,0.0,0,0
2020-02-18,10.169188808579657,10.278633762221125,10.160069120596418,10.22391128540039,8421200,0.0,0.0,0,0
2020-02-19,10.251271559817148,10.342475393216292,10.23303131500785,10.305994033813477,7540600,0.0,0.0,0,0
2020-02-20,10.23303059833916,10.378956025730552,10.205668928365158,10.36071491241455,11640000,0.0,0.0,0,0
2020-02-21,10.333354990976,10.433678513393081,10.305994188459382,10.406317710876465,10524200,0.0,0.0,0,0
2020-02-24,10.132705938280706,10.296872474510147,10.132705938280706,10.233030319213867,11279100,0.0,0.0,0,0
2020-02-25,10.214790535213343,10.342475732200299,9.977661256430817,10.05062484741211,20686000,0.0,0.0,0,0
